location,date,t_min,t_avg,t_max,prec_total,snow,sunrise,sunset,day_time,sun_time,sunrise_str,sunset_str,day_time_str,sun_time_str,type
Lausanne,2025-11-22,4.43,6.53,8.3,7.59,0.45,7.66,16.95,9.29,3.35,07:39,16:57,09:17,03:21,7-day-mean
Ljubljana,2025-11-22,4.69,7.17,9.31,7.76,0.55,7.11,16.45,9.33,2.39,07:06,16:27,09:19,02:23,7-day-mean
Ljubljana,2025-11-22,-0.6,1.1,2.4,0.0,0.0,7.2,16.38,9.19,0.0,07:12,16:22,09:11,00:00,Today
Lausanne,2025-11-22,-0.9,0.3,2.3,0.0,0.0,7.75,16.88,9.14,7.56,07:45,16:52,09:08,07:33,Today
Lausanne,2025-11-23,2.73,4.73,6.5,6.17,0.45,7.68,16.93,9.25,3.55,07:40,16:55,09:15,03:33,7-day-mean
Ljubljana,2025-11-23,2.89,5.39,7.37,7.76,0.55,7.13,16.43,9.3,1.54,07:07,16:25,09:18,01:32,7-day-mean
Ljubljana,2025-11-23,-2.3,-0.2,3.1,0.0,0.0,7.22,16.37,9.15,7.52,07:13,16:22,09:09,07:31,Today
Lausanne,2025-11-23,-1.9,0.6,5.7,4.1,0.0,7.77,16.87,9.1,0.96,07:46,16:52,09:06,00:57,Today
Lausanne,2025-11-24,1.07,3.29,5.61,4.41,0.45,7.7,16.92,9.21,3.68,07:42,16:55,09:12,03:40,7-day-mean
Ljubljana,2025-11-24,0.79,3.33,5.56,7.03,0.55,7.15,16.42,9.26,2.57,07:09,16:25,09:15,02:34,7-day-mean
Ljubljana,2025-11-24,-2.3,1.1,3.7,14.8,0.0,7.25,16.37,9.12,0.0,07:15,16:22,09:07,00:00,Today
Lausanne,2025-11-24,6.0,8.0,9.8,38.6,0.0,7.8,16.87,9.07,0.0,07:48,16:52,09:04,00:00,Today
